Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
L,0.0,0.0,0.45454545454545453,0.47619047619047616,0.4906,0.5052000000000001,0.3262,0.3612,0.7804,0.6328,48.0,34.0,25.4,23.4,6.2,6.4,3.6,4.2,11.0,14.0,5.4,-6.0
L,0.0,0.0,0.2608695652173913,0.6818181818181818,0.44020000000000004,0.5056,0.3028,0.3482,0.7205999999999999,0.784,45.4,43.8,27.6,25.2,7.8,7.2,3.0,6.0,13.8,13.6,-12.2,6.0
W,1.0,0.0,0.5714285714285714,0.4090909090909091,0.484,0.4708,0.3232,0.31179999999999997,0.8034000000000001,0.7938,46.8,42.2,27.6,25.0,6.6,6.4,4.8,5.2,16.0,12.0,3.6,-3.8
W,0.0,0.0,0.5217391304347826,0.5454545454545454,0.4706,0.42560000000000003,0.3792,0.3182,0.7488,0.7958000000000001,45.4,42.2,23.0,26.6,4.4,10.6,4.6,5.6,12.4,13.4,-6.2,-9.0
L,1.0,1.0,0.25,0.5909090909090909,0.48460000000000003,0.46180000000000004,0.37879999999999997,0.3658,0.727,0.7003999999999999,41.0,52.2,23.2,24.6,8.0,7.0,3.0,6.2,14.2,16.4,-5.8,4.2
W,0.0,2.0,0.43478260869565216,0.6521739130434783,0.47640000000000005,0.4588,0.326,0.3464,0.7632,0.8614,47.4,40.4,24.8,19.4,5.6,7.2,3.4,3.4,12.0,13.0,-0.8,4.0
W,2.0,0.0,0.6363636363636364,0.6363636363636364,0.48179999999999995,0.5196,0.3476,0.40140000000000003,0.8558,0.7278,47.4,42.0,26.6,30.0,9.6,7.0,5.2,5.0,17.0,13.4,7.6,8.6
L,4.0,0.0,0.5416666666666666,0.782608695652174,0.5208,0.5298,0.3766,0.43739999999999996,0.808,0.8732,38.8,40.8,24.6,30.0,6.0,6.8,6.0,3.6,14.4,15.6,5.0,14.2
L,0.0,1.0,0.4782608695652174,0.42857142857142855,0.48579999999999995,0.5058,0.32599999999999996,0.3934,0.7718,0.7862,43.0,47.4,24.6,27.2,7.2,6.0,5.8,5.8,10.2,13.0,-0.8,7.6
L,1.0,0.0,0.5217391304347826,0.7916666666666666,0.4692,0.5174000000000001,0.3256,0.43,0.7538,0.8754,41.8,42.8,23.8,28.2,9.0,7.2,4.0,4.2,14.4,17.0,0.6,12.8
L,0.0,0.0,0.20833333333333334,0.7272727272727273,0.4812,0.4998,0.3512,0.3968,0.7412,0.77,32.6,44.8,21.4,26.2,7.6,4.4,3.6,6.6,17.2,13.0,-15.6,7.0
W,0.0,0.0,0.5,0.6956521739130435,0.4838,0.5132000000000001,0.36879999999999996,0.40280000000000005,0.6662,0.8131999999999999,37.0,44.2,24.8,27.8,7.0,6.8,4.6,4.6,13.4,13.2,0.8,12.4
L,0.0,0.0,0.30434782608695654,0.5416666666666666,0.44539999999999996,0.441,0.3164,0.3426,0.733,0.7432000000000001,45.0,46.4,23.4,22.4,7.2,5.4,2.8,4.8,14.4,14.8,-7.0,-6.0
L,2.0,0.0,0.5416666666666666,0.5217391304347826,0.5157999999999999,0.4136,0.40140000000000003,0.3082,0.7236,0.8046,46.2,42.8,32.4,25.4,6.2,10.0,4.4,5.8,17.8,14.4,11.6,-14.4
W,0.0,0.0,0.2608695652173913,0.5217391304347826,0.46719999999999995,0.4868,0.3194,0.36160000000000003,0.7886,0.8503999999999999,43.0,39.8,20.8,24.4,7.2,8.2,3.4,3.6,17.6,14.6,-8.2,1.0
W,1.0,0.0,0.6086956521739131,0.4782608695652174,0.465,0.47519999999999996,0.3982,0.33920000000000006,0.7186,0.8614,51.6,45.6,25.0,23.2,6.4,7.8,5.2,4.2,15.6,14.4,7.0,2.0
L,1.0,1.0,0.5652173913043478,0.43478260869565216,0.4948,0.4504,0.3428,0.308,0.7734,0.8162,40.8,46.4,22.6,20.4,7.4,9.0,4.2,4.2,14.0,16.0,1.6,0.4
L,0.0,1.0,0.6086956521739131,0.5217391304347826,0.5254,0.4928,0.3794,0.41,0.7001999999999999,0.6769999999999999,39.6,38.4,28.6,23.8,7.2,7.0,4.4,4.8,13.4,12.8,4.6,5.6
W,0.0,1.0,0.625,0.45454545454545453,0.45039999999999997,0.5178,0.3194,0.4112,0.8422000000000001,0.7615999999999999,40.0,47.8,20.4,28.4,6.8,4.6,4.2,5.8,15.0,11.6,4.8,7.6
L,0.0,0.0,0.4583333333333333,0.24,0.46980000000000005,0.47380000000000005,0.33120000000000005,0.353,0.8432000000000001,0.7083999999999999,44.0,41.2,23.8,23.6,7.8,7.6,3.8,4.0,15.2,15.8,-1.2,-9.6
W,0.0,0.0,0.5384615384615384,0.52,0.51,0.4936,0.40679999999999994,0.37160000000000004,0.7121999999999999,0.7148,44.4,45.8,24.6,31.0,5.8,5.8,3.8,5.0,16.6,16.0,4.0,7.8
W,0.0,0.0,0.4782608695652174,0.5416666666666666,0.4718,0.4326,0.304,0.3424,0.8298,0.7615999999999999,38.8,44.4,23.4,26.0,8.8,7.8,7.0,6.6,16.8,15.2,-7.8,-10.0
W,3.0,0.0,0.6521739130434783,0.2692307692307692,0.46840000000000004,0.4878,0.34740000000000004,0.3764,0.8714000000000001,0.6674,46.2,39.4,25.8,24.8,10.0,8.0,5.2,3.6,15.0,14.6,6.8,-4.4
W,0.0,0.0,0.391304347826087,0.4583333333333333,0.46040000000000003,0.4932,0.298,0.32080000000000003,0.8065999999999999,0.7584,43.0,42.8,22.4,24.0,6.4,7.8,3.8,5.6,12.6,9.8,-6.6,-2.4
L,0.0,0.0,0.6666666666666666,0.8,0.5098,0.5052,0.4184,0.40800000000000003,0.7982,0.8182,42.8,45.0,28.8,28.6,6.2,8.0,4.4,3.8,14.6,16.4,8.4,12.2
W,2.0,1.0,0.625,0.4583333333333333,0.45519999999999994,0.4484,0.3534,0.33039999999999997,0.7704,0.8328,50.6,46.2,24.4,20.6,7.6,9.2,5.4,4.0,15.2,16.6,4.4,1.0
W,0.0,0.0,0.52,0.2916666666666667,0.495,0.44580000000000003,0.3726,0.3348,0.7844,0.7386,40.2,46.0,22.6,24.2,6.8,7.2,5.8,3.4,13.6,13.2,5.0,-8.6
W,0.0,0.0,0.5,0.43478260869565216,0.4746,0.48719999999999997,0.33540000000000003,0.3416,0.7388,0.7552,41.4,48.6,23.6,26.6,8.2,4.6,4.6,5.6,14.4,11.4,-1.6,3.8
W,0.0,0.0,0.2,0.56,0.46319999999999995,0.429,0.3412,0.32599999999999996,0.7686,0.7647999999999999,37.8,49.2,21.4,24.0,7.4,6.0,3.2,4.8,16.8,14.4,-11.0,-3.6
W,1.0,0.0,0.4583333333333333,0.5416666666666666,0.4702,0.48580000000000007,0.29700000000000004,0.3342,0.7538,0.7652,49.4,46.0,22.8,24.6,5.4,7.0,3.0,3.8,14.2,14.8,2.0,1.4
W,0.0,2.0,0.7391304347826086,0.5909090909090909,0.488,0.4848,0.368,0.3256,0.7798,0.8396000000000001,45.2,46.4,27.0,28.2,5.4,7.4,5.6,4.8,13.8,16.0,5.4,7.2
W,0.0,1.0,0.25,0.2916666666666667,0.4312,0.45199999999999996,0.2828,0.2912,0.7363999999999999,0.8004,46.0,42.6,25.2,19.6,6.6,7.2,3.4,3.4,13.6,16.8,-16.0,-9.0
W,0.0,0.0,0.44,0.5384615384615384,0.4612,0.4218,0.33999999999999997,0.36160000000000003,0.8318,0.7532,42.6,47.4,23.2,22.6,8.2,5.2,3.2,5.8,15.6,14.2,-5.8,-7.4
L,1.0,0.0,0.5416666666666666,0.5833333333333334,0.4694,0.5292,0.4016,0.394,0.7362,0.7182000000000001,44.8,39.4,24.6,29.2,5.8,7.0,4.6,4.2,12.8,15.6,-3.6,2.4
L,0.0,2.0,0.28,0.48,0.4628,0.4582,0.35419999999999996,0.32480000000000003,0.7054,0.7706000000000001,43.0,52.0,24.4,22.0,6.8,6.0,3.2,2.0,11.8,15.4,-10.2,7.6
W,3.0,0.0,0.64,0.25925925925925924,0.4606,0.4744,0.352,0.3906,0.7846,0.7224,50.6,40.6,24.4,25.4,9.4,7.2,6.8,2.6,16.4,14.0,7.8,-4.0
W,0.0,0.0,0.5,0.4166666666666667,0.4812,0.4862,0.3782,0.313,0.8394,0.7832,38.2,46.4,24.0,25.2,8.8,5.2,4.6,4.8,15.4,11.6,-2.4,1.4
W,1.0,0.0,0.5384615384615384,0.52,0.5038,0.4814,0.36419999999999997,0.312,0.7788,0.7342000000000001,40.4,45.4,23.8,23.0,6.2,6.6,7.0,4.4,14.2,14.6,3.4,-1.8
W,4.0,0.0,0.6666666666666666,0.64,0.4742,0.483,0.34199999999999997,0.4058,0.8538,0.7952,48.0,43.6,24.8,27.4,9.8,5.4,6.2,3.8,16.2,14.8,12.2,2.0
W,0.0,0.0,0.52,0.44,0.4468,0.48339999999999994,0.3634,0.3288,0.749,0.7388,40.8,44.6,24.6,23.8,8.6,8.6,5.4,6.6,17.0,12.6,-11.4,-1.4
L,1.0,0.0,0.64,0.5652173913043478,0.4678,0.49660000000000004,0.314,0.3388,0.8256,0.8502000000000001,40.6,45.4,22.6,28.0,8.4,7.2,4.0,4.8,13.8,14.0,6.0,8.2
L,1.0,1.0,0.5416666666666666,0.75,0.4902,0.47219999999999995,0.42140000000000005,0.361,0.7232000000000001,0.7998000000000001,39.0,47.2,24.6,28.2,7.8,4.4,5.2,5.0,13.6,12.4,7.6,6.2
L,1.0,1.0,0.5555555555555556,0.5,0.5158,0.48100000000000004,0.4114,0.3296,0.7222000000000001,0.8262,44.4,40.0,25.8,23.6,6.0,10.4,4.8,5.6,17.6,18.2,4.4,-6.2
W,1.0,1.0,0.23076923076923078,0.52,0.4524,0.47519999999999996,0.3146,0.3054,0.8310000000000001,0.7405999999999999,41.4,43.2,21.8,24.0,7.2,9.4,3.2,4.6,15.8,14.2,-8.6,-1.4
W,0.0,0.0,0.6153846153846154,0.44,0.4782,0.44400000000000006,0.3438,0.3586,0.8176,0.8416,38.4,47.6,22.4,21.8,8.4,8.6,4.2,4.0,15.8,17.4,6.2,-0.6
L,1.0,1.0,0.46153846153846156,0.28,0.46580000000000005,0.466,0.3604,0.3186,0.8099999999999999,0.7598,42.0,43.6,22.4,26.0,8.8,5.4,2.4,4.2,14.4,13.8,-6.4,-12.0
W,0.0,0.0,0.6,0.5357142857142857,0.5188,0.506,0.394,0.3928,0.6846,0.7838,40.4,43.4,28.6,24.2,6.6,6.8,4.4,4.0,16.0,17.0,-0.6,3.8
W,0.0,0.0,0.5,0.8076923076923077,0.4704,0.484,0.35300000000000004,0.3868,0.6968,0.8160000000000001,44.8,47.8,29.0,26.4,6.0,8.8,4.8,3.4,15.6,15.8,3.0,10.6
L,0.0,0.0,0.4230769230769231,0.5185185185185185,0.4756,0.42219999999999996,0.301,0.3722,0.7203999999999999,0.77,45.4,46.4,22.6,22.2,7.4,4.6,6.2,5.0,14.0,14.8,-6.4,-9.6
W,1.0,0.0,0.4166666666666667,0.52,0.4732,0.491,0.3122,0.4182,0.8178000000000001,0.6806,41.8,39.8,23.2,24.6,7.6,8.0,3.8,5.6,13.4,13.0,-5.0,6.8
W,0.0,1.0,0.52,0.52,0.47759999999999997,0.4988,0.4088,0.3296,0.7998000000000001,0.8282,44.0,42.6,25.2,25.2,7.0,10.4,4.8,5.8,12.8,18.8,-1.0,0.4
L,1.0,2.0,0.5384615384615384,0.5555555555555556,0.46799999999999997,0.5036,0.38639999999999997,0.38659999999999994,0.7724,0.7694000000000001,39.4,39.6,23.6,25.8,8.4,6.8,4.8,6.4,16.4,14.8,-4.8,2.8
L,0.0,0.0,0.25,0.4,0.4532,0.48719999999999997,0.3868,0.3084,0.7405999999999999,0.7982,44.0,44.2,24.4,25.4,7.0,6.6,3.2,4.4,14.6,14.2,-0.2,-4.6
W,0.0,2.0,0.5,0.44,0.48040000000000005,0.5078,0.2922,0.3694,0.7727999999999999,0.7834,44.6,40.6,22.0,25.6,7.6,8.0,4.0,4.2,14.2,13.8,-2.0,-0.6
W,2.0,0.0,0.5,0.5833333333333334,0.4338,0.49800000000000005,0.30979999999999996,0.3638,0.7916000000000001,0.7974,51.4,45.6,20.8,25.8,5.4,7.6,3.2,4.4,15.4,14.6,5.4,11.4
W,2.0,0.0,0.25925925925925924,0.5,0.472,0.4646,0.3324,0.3048,0.836,0.7674,43.4,43.8,21.4,22.8,6.8,9.0,3.4,4.2,16.2,12.4,-4.4,1.4
W,0.0,1.0,0.28,0.76,0.45,0.47300000000000003,0.2874,0.3726,0.795,0.8034000000000001,43.6,47.0,19.2,29.0,7.0,4.8,3.8,4.6,16.2,14.6,-7.6,5.2
W,1.0,0.0,0.52,0.2692307692307692,0.458,0.4532,0.3868,0.3246,0.8492000000000001,0.7292,38.0,44.6,23.6,22.0,9.6,7.0,3.4,4.0,16.8,10.4,-6.2,-7.0
W,5.0,0.0,0.68,0.6153846153846154,0.4868,0.47759999999999997,0.345,0.41479999999999995,0.8338000000000001,0.7525999999999999,47.0,41.8,26.0,29.0,9.4,6.0,4.8,3.4,14.0,15.4,13.6,-4.0
L,0.0,0.0,0.5185185185185185,0.4444444444444444,0.49160000000000004,0.45759999999999995,0.4112,0.3468,0.7588,0.7528,38.4,42.0,24.6,22.6,8.0,8.2,4.4,2.4,16.4,13.4,-1.4,-4.6
W,4.0,1.0,0.6538461538461539,0.5185185185185185,0.47240000000000004,0.4678,0.339,0.3088,0.7708,0.7674000000000001,48.4,43.8,27.0,22.6,10.2,6.6,7.6,4.6,13.8,14.8,11.6,-5.2
W,1.0,1.0,0.3076923076923077,0.6296296296296297,0.4726,0.4508,0.288,0.3154,0.7746000000000001,0.796,43.4,40.0,24.2,21.8,5.4,7.6,4.0,4.4,15.4,14.6,-10.2,2.2
W,0.0,0.0,0.5,0.4230769230769231,0.47519999999999996,0.46159999999999995,0.3856,0.3644,0.7532,0.819,41.2,46.2,24.4,23.6,7.4,8.0,5.0,4.4,12.0,15.8,2.2,-1.4
W,1.0,0.0,0.5384615384615384,0.5,0.4878,0.5072,0.388,0.3648,0.8318,0.8068,44.4,39.2,24.4,25.6,6.8,11.8,4.2,6.0,13.8,17.8,1.4,2.2
W,0.0,0.0,0.5357142857142857,0.7777777777777778,0.42779999999999996,0.4606,0.3848,0.34900000000000003,0.8019999999999999,0.7882,47.0,47.4,23.4,23.4,4.6,9.0,5.4,4.6,14.6,14.2,-5.6,4.8
L,0.0,2.0,0.4074074074074074,0.5714285714285714,0.475,0.5147999999999999,0.3452,0.36619999999999997,0.7642,0.7286,45.2,44.4,23.6,25.2,7.8,6.6,5.8,5.6,14.2,16.6,-6.6,2.2
W,0.0,6.0,0.5172413793103449,0.6923076923076923,0.48660000000000003,0.4984,0.37839999999999996,0.3242,0.7958000000000001,0.8146000000000001,42.6,45.2,23.4,26.6,7.0,9.4,3.8,4.6,16.2,13.4,0.2,11.0
L,0.0,0.0,0.4230769230769231,0.75,0.48840000000000006,0.4554,0.3084,0.3286,0.8038000000000001,0.7766,43.8,45.0,25.2,23.6,7.0,8.8,4.4,5.4,15.6,13.2,-4.0,1.6
W,2.0,0.0,0.5384615384615384,0.56,0.4782,0.4766,0.41159999999999997,0.34059999999999996,0.834,0.7564,38.8,42.2,25.2,24.2,8.8,7.4,4.0,3.4,17.6,14.4,-3.2,4.2
W,1.0,0.0,0.3076923076923077,0.5925925925925926,0.454,0.4652,0.2732,0.3914,0.8228,0.7582,45.6,42.8,20.2,29.8,8.2,5.6,4.2,3.4,15.8,14.8,-2.6,-4.8
W,0.0,1.0,0.7307692307692307,0.5185185185185185,0.44000000000000006,0.4772,0.3494,0.3684,0.799,0.7002,49.0,45.4,26.8,28.8,5.4,5.4,4.8,5.4,15.8,15.0,5.0,6.8
W,1.0,0.0,0.6153846153846154,0.39285714285714285,0.5222,0.47800000000000004,0.34940000000000004,0.3434,0.6972,0.752,39.8,42.8,28.2,23.2,6.4,8.4,4.4,4.4,15.4,15.4,-3.6,-8.8
W,0.0,0.0,0.5,0.5,0.4744,0.4606,0.40700000000000003,0.3684,0.7422,0.7276,38.6,42.8,23.4,27.4,7.4,6.4,5.6,4.8,17.0,14.6,0.8,1.8
L,0.0,3.0,0.4230769230769231,0.5185185185185185,0.5038,0.4396,0.38920000000000005,0.3156,0.7849999999999999,0.8394,44.2,51.4,27.0,21.0,9.2,6.6,4.2,3.4,15.2,17.2,3.0,9.2
L,0.0,0.0,0.25925925925925924,0.2413793103448276,0.4508,0.437,0.31520000000000004,0.3766,0.7414,0.7888,44.6,41.6,21.2,24.2,8.2,7.0,4.0,3.8,12.8,14.4,-10.8,-2.8
W,3.0,0.0,0.2857142857142857,0.5,0.4668,0.4276,0.3532,0.3022,0.8638,0.7934,43.8,43.0,22.6,21.8,6.2,7.8,4.0,4.2,16.2,15.6,0.2,-11.8
L,0.0,0.0,0.48148148148148145,0.5384615384615384,0.4572,0.4558,0.2944,0.3194,0.7944,0.7929999999999999,40.8,42.6,23.2,22.2,9.4,7.0,5.2,3.0,11.4,16.0,0.8,-5.2
W,1.0,0.0,0.5517241379310345,0.48148148148148145,0.4546,0.514,0.4102,0.37720000000000004,0.7832,0.7542,46.2,40.8,24.0,25.4,5.8,11.6,5.2,4.2,13.0,17.2,3.8,-3.6
L,0.0,0.0,0.4074074074074074,0.4642857142857143,0.4548,0.43979999999999997,0.36239999999999994,0.337,0.876,0.764,44.2,41.6,24.4,23.4,8.0,7.4,3.8,2.2,16.0,12.8,-4.4,-4.4
L,1.0,0.0,0.5185185185185185,0.6071428571428571,0.47300000000000003,0.45099999999999996,0.38839999999999997,0.2826,0.764,0.7842,41.2,42.2,23.8,21.6,6.8,7.6,4.6,4.8,12.6,15.0,-0.6,-0.2
L,2.0,2.0,0.3333333333333333,0.5555555555555556,0.4782,0.5022,0.30060000000000003,0.4128,0.7602,0.8221999999999999,43.8,46.2,23.8,26.6,5.6,6.8,4.0,4.0,15.8,15.2,-8.4,9.4
L,2.0,0.0,0.5666666666666667,0.5714285714285714,0.4342,0.425,0.3876,0.3396,0.8118000000000001,0.7876,47.2,42.6,22.2,26.6,6.6,7.2,4.6,4.8,13.6,14.6,5.6,-15.2
W,1.0,0.0,0.5333333333333333,0.6666666666666666,0.471,0.491,0.354,0.2966,0.7562,0.7556,45.0,43.2,23.8,26.6,6.4,10.0,5.4,4.2,15.4,15.0,0.4,3.2
L,2.0,0.0,0.3333333333333333,0.4827586206896552,0.43920000000000003,0.4474,0.2752,0.3528,0.8470000000000001,0.7694,50.8,40.4,19.6,23.8,7.0,7.8,5.6,1.8,17.0,12.2,0.0,-2.4
W,5.0,1.0,0.6666666666666666,0.7407407407407407,0.5062,0.4558,0.3468,0.3572,0.7802,0.8038000000000001,46.8,50.6,29.8,26.4,10.2,6.0,7.8,4.2,16.0,16.0,15.0,6.6
W,0.0,2.0,0.5,0.5714285714285714,0.4466,0.5267999999999999,0.3592,0.42279999999999995,0.741,0.8086,39.6,44.4,22.6,28.0,5.8,6.8,4.0,3.4,12.6,16.0,-7.4,11.6
L,0.0,0.0,0.39285714285714285,0.4642857142857143,0.4516,0.49219999999999997,0.3528,0.347,0.8638,0.7408,44.6,40.6,24.4,23.4,7.2,10.8,3.6,3.0,14.6,16.0,-6.2,-4.4
W,0.0,1.0,0.6206896551724138,0.5172413793103449,0.4864,0.48,0.3034,0.41200000000000003,0.792,0.788,43.0,36.0,23.4,24.2,7.2,8.8,4.0,5.6,13.0,17.2,5.0,0.4
L,0.0,0.0,0.25,0.4827586206896552,0.45499999999999996,0.44139999999999996,0.3402,0.3024,0.7230000000000001,0.8182,46.2,40.0,22.4,23.0,7.8,6.8,4.4,4.6,11.0,14.6,-10.4,-12.6
L,0.0,0.0,0.26666666666666666,0.5555555555555556,0.45220000000000005,0.4596,0.39239999999999997,0.333,0.7722,0.784,44.2,43.4,24.0,22.0,5.6,5.6,4.0,3.2,14.6,15.2,0.6,-6.8
L,0.0,3.0,0.4074074074074074,0.5357142857142857,0.521,0.4476,0.38680000000000003,0.3568,0.8244,0.8566,41.6,52.0,26.4,22.4,9.0,6.6,5.4,4.2,15.2,16.8,3.0,15.0
L,0.0,4.0,0.7586206896551724,0.3103448275862069,0.4574,0.4704,0.3288,0.3634,0.7342,0.8688,45.6,47.2,25.4,23.6,7.8,6.4,4.0,4.8,12.6,15.8,0.2,5.0
L,0.0,2.0,0.4642857142857143,0.5862068965517241,0.4452,0.5062,0.28959999999999997,0.3566,0.8208,0.77,40.0,44.4,22.0,24.8,8.6,6.8,5.8,6.0,9.4,15.6,-2.0,2.8
W,3.0,0.0,0.5555555555555556,0.4827586206896552,0.4974,0.4478,0.4568,0.35700000000000004,0.8230000000000001,0.8,41.2,45.0,28.2,26.0,9.4,5.8,4.6,4.6,16.8,16.6,6.4,-3.2
W,0.0,2.0,0.4074074074074074,0.6296296296296297,0.4746,0.5466,0.2866,0.3244,0.805,0.7554000000000001,43.4,42.2,23.0,28.2,7.4,6.4,5.2,5.8,15.0,16.0,-7.0,0.6
W,0.0,6.0,0.3793103448275862,0.6785714285714286,0.4542,0.5226,0.3416,0.336,0.8342,0.792,43.8,48.8,25.2,30.2,7.0,9.4,3.6,8.2,15.8,14.8,-8.0,21.2
W,0.0,0.0,0.5862068965517241,0.6428571428571429,0.42960000000000004,0.4848,0.3256,0.292,0.8048,0.7642,45.0,45.8,26.4,25.6,7.8,9.6,5.4,4.4,13.8,16.4,-8.2,-0.4
W,0.0,0.0,0.5483870967741935,0.3793103448275862,0.4276,0.49000000000000005,0.3872,0.3896,0.8161999999999999,0.7184,47.0,38.8,21.2,26.4,6.8,8.4,3.4,3.8,13.8,16.2,3.4,-9.2
L,0.0,0.0,0.32142857142857145,0.5,0.4934,0.4502,0.32,0.35819999999999996,0.726,0.7634000000000001,42.0,40.4,23.2,23.8,6.6,8.4,3.8,2.6,15.6,12.0,-8.0,2.2
L,0.0,0.0,0.32142857142857145,0.5517241379310345,0.44480000000000003,0.5168,0.3084,0.40800000000000003,0.7964,0.8242,52.0,43.8,20.6,25.8,7.8,5.6,5.6,3.2,17.0,15.4,3.2,4.4
W,1.0,1.0,0.6333333333333333,0.5172413793103449,0.48319999999999996,0.45780000000000004,0.34199999999999997,0.34859999999999997,0.8140000000000001,0.736,41.0,40.6,23.0,22.2,6.2,4.6,3.8,4.2,13.4,11.8,3.4,-3.6
W,0.0,2.0,0.7142857142857143,0.5483870967741935,0.4408,0.472,0.3442,0.3584,0.7834,0.7612,49.4,45.0,24.6,24.6,5.2,6.4,3.6,5.8,14.4,16.0,-3.0,2.0
W,1.0,0.0,0.42857142857142855,0.36666666666666664,0.4946,0.4782,0.32599999999999996,0.40359999999999996,0.7884,0.765,43.8,39.6,25.6,26.0,8.8,8.0,4.8,3.0,14.8,15.8,-0.6,-10.2
W,0.0,0.0,0.6071428571428571,0.2413793103448276,0.5416000000000001,0.4386,0.33940000000000003,0.33940000000000003,0.772,0.7304,41.4,45.0,28.4,21.8,6.8,7.8,5.6,4.6,16.0,11.6,0.0,-13.8
L,0.0,4.0,0.7333333333333333,0.3333333333333333,0.44299999999999995,0.4896,0.3044,0.368,0.7562,0.8608,43.4,47.4,23.4,23.2,8.4,6.2,5.8,4.6,13.2,16.6,-2.6,8.0
L,0.0,2.0,0.25806451612903225,0.6,0.4452,0.5462,0.36879999999999996,0.3566,0.7868,0.7902,45.4,42.8,23.0,25.8,5.4,6.6,4.0,5.8,15.4,15.6,-5.2,5.6
W,0.0,0.0,0.4827586206896552,0.39285714285714285,0.49640000000000006,0.5262,0.3734,0.39480000000000004,0.6676,0.8310000000000001,39.0,41.6,23.0,28.2,11.0,7.8,3.8,4.8,14.6,16.0,-5.2,0.2
L,0.0,3.0,0.5,0.5517241379310345,0.4888,0.4466,0.3828,0.3996,0.817,0.8384,36.4,51.2,26.6,22.8,8.0,8.0,5.6,4.0,15.4,15.0,0.4,17.4
L,0.0,0.0,0.4482758620689655,0.4666666666666667,0.45099999999999996,0.45,0.2932,0.377,0.8465999999999999,0.8114000000000001,37.2,45.2,21.6,27.0,8.4,6.2,5.0,4.6,8.6,17.6,-1.4,-4.0
L,0.0,0.0,0.5714285714285714,0.23333333333333334,0.46980000000000005,0.41719999999999996,0.3472,0.31920000000000004,0.762,0.8086,42.0,46.6,24.2,22.0,6.8,8.4,2.6,5.4,16.4,11.6,-2.4,-13.4
W,4.0,0.0,0.5714285714285714,0.43333333333333335,0.5012000000000001,0.4466,0.45099999999999996,0.3162,0.8078,0.8346,42.6,35.0,28.2,20.8,10.2,7.6,4.6,4.4,17.2,9.2,10.4,-7.2
W,1.0,2.0,0.6,0.4482758620689655,0.44400000000000006,0.5096,0.3488,0.365,0.7792,0.751,42.2,43.2,27.2,28.2,8.0,8.4,5.2,5.2,11.8,13.6,-2.0,2.4
W,0.0,4.0,0.5,0.3548387096774194,0.4756,0.4822,0.3724,0.3936,0.8246,0.8592000000000001,40.4,46.0,24.8,23.2,6.6,6.4,4.4,4.2,15.2,16.6,-4.0,7.6
L,0.0,0.0,0.3103448275862069,0.3103448275862069,0.4354,0.4918,0.2572,0.3552,0.7798,0.7332,52.0,41.6,20.6,25.2,7.4,7.2,6.2,3.8,16.2,15.2,-1.0,-2.4
W,1.0,0.0,0.5,0.5,0.521,0.4464,0.4004,0.3448,0.6764,0.779,38.0,41.0,24.6,21.8,10.6,4.0,4.2,4.2,13.8,12.0,-2.4,-3.6
W,1.0,0.0,0.4,0.5666666666666667,0.4628,0.5142,0.3524,0.4002,0.7892,0.7716000000000001,44.8,43.4,26.0,23.8,6.6,5.2,3.0,3.4,14.0,15.6,-2.6,7.0
L,0.0,1.0,0.6206896551724138,0.7241379310344828,0.5098,0.4516,0.3262,0.35419999999999996,0.7614,0.7804,43.0,50.2,26.8,23.8,8.4,5.6,3.6,3.8,16.0,16.0,-2.4,-0.4
W,2.0,0.0,0.6451612903225806,0.53125,0.4824,0.4556,0.3142,0.3406,0.7776,0.6992,44.0,42.8,23.6,24.2,6.0,6.2,4.0,4.8,12.0,15.4,5.8,-3.4
L,2.0,0.0,0.6129032258064516,0.3548387096774194,0.44299999999999995,0.46440000000000003,0.35140000000000005,0.3858,0.7908,0.7714000000000001,45.0,41.6,25.4,25.8,8.8,7.8,5.6,3.6,10.2,15.0,5.4,-8.6
L,0.0,0.0,0.25,0.5151515151515151,0.4628,0.4464,0.3508,0.3404,0.7948000000000001,0.7054,45.2,41.8,23.6,23.6,6.2,6.2,4.2,5.2,14.6,16.0,-4.6,-6.0
W,3.0,0.0,0.5666666666666667,0.4838709677419355,0.4514,0.46440000000000003,0.3668,0.40280000000000005,0.8084,0.8286,50.0,45.0,20.2,28.0,8.2,5.8,5.4,4.0,15.4,18.2,13.2,-0.6
L,0.0,0.0,0.5161290322580645,0.3793103448275862,0.45039999999999997,0.5307999999999999,0.3566,0.392,0.7454,0.8046,39.8,39.4,24.0,28.6,9.0,6.8,3.0,4.2,13.2,14.4,3.2,-5.4
W,1.0,0.0,0.6206896551724138,0.6551724137931034,0.5304,0.5048,0.32480000000000003,0.33940000000000003,0.7442,0.7487999999999999,45.2,51.2,29.0,28.6,6.4,8.4,5.4,8.2,15.4,14.4,1.0,18.4
L,2.0,0.0,0.5161290322580645,0.4838709677419355,0.507,0.4368,0.3908,0.3792,0.693,0.771,41.2,42.0,24.0,21.6,9.4,4.0,4.2,4.4,13.4,13.6,0.8,0.2
