Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,0.0,0.0,0.0,1.0,0.437,0.389,0.381,0.429,0.75,0.767,59.0,53.0,28.0,26.0,7.0,5.0,15.0,3.0,11.0,14.0,9.0,-9.0
L,0.0,0.0,1.0,1.0,0.471,0.506,0.4,0.409,0.577,0.909,39.0,40.0,24.0,24.0,5.0,8.0,5.0,3.0,12.0,13.0,-2.0,2.0
W,0.0,0.0,1.0,1.0,0.494,0.447,0.526,0.395,0.581,0.783,46.0,47.0,33.0,29.0,5.0,10.0,6.0,5.0,18.0,13.0,5.0,-5.0
W,0.0,0.0,0.0,1.0,0.5,0.425,0.367,0.359,0.926,0.75,44.0,37.0,28.0,24.0,2.0,9.0,2.0,5.0,16.0,6.0,3.0,-3.0
L,0.0,0.0,1.0,1.0,0.439,0.462,0.281,0.357,0.7,0.917,43.0,49.0,16.0,29.0,10.0,5.0,0.0,3.0,15.0,13.0,-17.0,17.0
L,0.0,0.0,0.0,1.0,0.436,0.523,0.22,0.294,0.714,0.636,42.0,54.0,24.0,24.0,7.0,9.0,4.0,3.0,11.0,15.0,-10.0,10.0
W,0.0,1.0,1.0,1.0,0.427,0.494,0.394,0.429,0.88,0.6,48.0,35.0,19.0,25.0,10.0,9.0,5.0,4.0,13.0,20.0,10.0,-10.0
L,0.0,1.0,0.0,1.0,0.446,0.44,0.182,0.37,0.8,0.815,40.0,52.0,26.0,19.0,9.0,6.0,9.0,5.0,13.0,19.0,-2.0,2.0
L,0.0,1.0,1.0,1.0,0.471,0.439,0.296,0.342,0.773,0.821,45.0,44.0,30.0,29.0,8.0,13.0,6.0,6.0,17.0,17.0,-1.0,1.0
W,0.0,0.0,1.0,0.0,0.517,0.47,0.424,0.256,0.722,0.8,37.0,51.0,24.0,31.0,7.0,10.0,5.0,2.0,13.0,16.0,5.0,-5.0
L,2.0,0.0,1.0,1.0,0.411,0.522,0.229,0.423,0.821,0.7,45.0,52.0,23.0,28.0,8.0,7.0,9.0,6.0,12.0,14.0,-17.0,17.0
W,0.0,1.0,0.0,0.3333333333333333,0.475,0.422,0.442,0.273,0.893,0.783,39.0,47.0,25.0,27.0,8.0,3.0,7.0,4.0,8.0,13.0,14.0,-14.0
W,1.0,0.0,1.0,0.0,0.462,0.419,0.297,0.2,0.72,0.852,50.0,41.0,24.0,14.0,7.0,6.0,3.0,4.0,14.0,13.0,13.0,-13.0
L,1.0,0.0,0.3333333333333333,0.3333333333333333,0.349,0.395,0.235,0.438,0.889,0.8,46.0,52.0,19.0,22.0,5.0,6.0,3.0,6.0,12.0,12.0,-8.0,8.0
W,0.0,1.0,0.3333333333333333,1.0,0.483,0.37,0.476,0.375,0.897,0.833,60.0,45.0,29.0,26.0,4.0,5.0,6.0,7.0,14.0,11.0,18.0,-18.0
W,0.0,1.0,1.0,1.0,0.5,0.54,0.471,0.31,0.774,0.808,38.0,35.0,21.0,27.0,7.0,4.0,3.0,7.0,9.0,11.0,10.0,-10.0
L,0.0,0.0,1.0,1.0,0.442,0.457,0.258,0.324,0.917,0.538,50.0,50.0,24.0,37.0,7.0,11.0,5.0,0.0,16.0,13.0,-9.0,9.0
W,1.0,1.0,1.0,1.0,0.578,0.495,0.457,0.387,0.742,0.571,45.0,38.0,23.0,28.0,3.0,4.0,6.0,1.0,10.0,8.0,25.0,-25.0
W,0.0,1.0,0.0,1.0,0.422,0.473,0.314,0.344,0.844,0.563,47.0,49.0,17.0,23.0,7.0,8.0,7.0,10.0,16.0,20.0,6.0,-6.0
W,0.0,0.0,0.0,1.0,0.382,0.422,0.133,0.323,0.8,0.778,60.0,47.0,19.0,21.0,12.0,5.0,8.0,14.0,6.0,19.0,14.0,-14.0
W,0.0,1.0,1.0,1.0,0.579,0.5,0.444,0.308,0.722,0.708,26.0,37.0,25.0,18.0,7.0,8.0,3.0,5.0,14.0,12.0,2.0,-2.0
W,0.0,0.0,1.0,0.3333333333333333,0.518,0.409,0.303,0.286,0.846,0.76,47.0,41.0,26.0,12.0,7.0,6.0,7.0,1.0,12.0,13.0,21.0,-21.0
W,0.0,1.0,1.0,1.0,0.511,0.451,0.414,0.286,0.824,0.765,48.0,40.0,31.0,28.0,8.0,7.0,4.0,7.0,14.0,16.0,29.0,-29.0
W,2.0,0.0,1.0,1.0,0.536,0.495,0.367,0.419,0.864,0.667,46.0,42.0,26.0,31.0,5.0,9.0,11.0,5.0,16.0,15.0,3.0,-3.0
W,0.0,1.0,0.5,0.25,0.548,0.506,0.432,0.444,0.786,0.684,39.0,34.0,32.0,29.0,9.0,6.0,5.0,2.0,9.0,13.0,10.0,-10.0
W,0.0,1.0,1.0,0.25,0.422,0.383,0.289,0.275,0.667,0.75,53.0,49.0,28.0,19.0,11.0,7.0,5.0,2.0,16.0,19.0,8.0,-8.0
L,2.0,0.0,1.0,0.25,0.436,0.506,0.324,0.395,0.692,0.842,38.0,46.0,20.0,34.0,9.0,13.0,4.0,2.0,19.0,18.0,-21.0,21.0
W,0.0,0.0,0.5,0.0,0.457,0.444,0.265,0.267,0.81,0.688,54.0,47.0,34.0,25.0,12.0,8.0,5.0,4.0,11.0,14.0,11.0,-11.0
