Home Team,Away Team,Game Date,Winner,Home Win/Loss,fg_pct_home,fg3_pct_home,ft_pct_home,reb_home,ast_home,stl_home,blk_home,tov_home,plus_minus_home,fg_pct_away,fg3_pct_away,ft_pct_away,reb_away,ast_away,stl_away,blk_away,tov_away,plus_minus_away
DEN,OKC,2022-10-22,DEN,W,0.494,0.526,0.581,46.0,33.0,5.0,6.0,18.0,5,0.447,0.395,0.783,47.0,29.0,10.0,5.0,13.0,-5
MIA,TOR,2022-10-22,MIA,W,0.5,0.367,0.926,44.0,28.0,2.0,2.0,16.0,3,0.425,0.359,0.75,37.0,24.0,9.0,5.0,6.0,-3
LAC,PHX,2022-10-23,PHX,L,0.439,0.281,0.7,43.0,16.0,10.0,0.0,15.0,-17,0.462,0.357,0.917,49.0,29.0,5.0,3.0,13.0,17
OKC,MIN,2022-10-23,MIN,L,0.436,0.22,0.714,42.0,24.0,7.0,4.0,11.0,-10,0.523,0.294,0.636,54.0,24.0,9.0,3.0,15.0,10
CLE,WAS,2022-10-23,CLE,W,0.427,0.394,0.88,48.0,19.0,10.0,5.0,13.0,10,0.494,0.429,0.6,35.0,25.0,9.0,4.0,20.0,-10
LAL,POR,2022-10-23,POR,L,0.446,0.182,0.8,40.0,26.0,9.0,9.0,13.0,-2,0.44,0.37,0.815,52.0,19.0,6.0,5.0,19.0,2
NOP,UTA,2022-10-23,UTA,L,0.471,0.296,0.773,45.0,30.0,8.0,6.0,17.0,-1,0.439,0.342,0.821,44.0,29.0,13.0,6.0,17.0,1
GSW,SAC,2022-10-23,GSW,W,0.517,0.424,0.722,37.0,24.0,7.0,5.0,13.0,5,0.47,0.256,0.8,51.0,31.0,10.0,2.0,16.0,-5
ATL,CHA,2022-10-23,CHA,L,0.411,0.229,0.821,45.0,23.0,8.0,9.0,12.0,-17,0.522,0.423,0.7,52.0,28.0,7.0,6.0,14.0,17
PHI,IND,2022-10-24,PHI,W,0.475,0.442,0.893,39.0,25.0,8.0,7.0,8.0,14,0.422,0.273,0.783,47.0,27.0,3.0,4.0,13.0,-14
NYK,ORL,2022-10-24,NYK,W,0.462,0.297,0.72,50.0,24.0,7.0,3.0,14.0,13,0.419,0.2,0.852,41.0,14.0,6.0,4.0,13.0,-13
MIA,TOR,2022-10-24,TOR,L,0.349,0.235,0.889,46.0,19.0,5.0,3.0,12.0,-8,0.395,0.438,0.8,52.0,22.0,6.0,6.0,12.0,8
CHI,BOS,2022-10-24,CHI,W,0.483,0.476,0.897,60.0,29.0,4.0,6.0,14.0,18,0.37,0.375,0.833,45.0,26.0,5.0,7.0,11.0,-18
MEM,BKN,2022-10-24,MEM,W,0.5,0.471,0.774,38.0,21.0,7.0,3.0,9.0,10,0.54,0.31,0.808,35.0,27.0,4.0,7.0,11.0,-10
MIN,SAS,2022-10-24,SAS,L,0.442,0.258,0.917,50.0,24.0,7.0,5.0,16.0,-9,0.457,0.324,0.538,50.0,37.0,11.0,0.0,13.0,9
POR,DEN,2022-10-24,POR,W,0.578,0.457,0.742,45.0,23.0,3.0,6.0,10.0,25,0.495,0.387,0.571,38.0,28.0,4.0,1.0,8.0,-25
HOU,UTA,2022-10-24,HOU,W,0.422,0.314,0.844,47.0,17.0,7.0,7.0,16.0,6,0.473,0.344,0.563,49.0,23.0,8.0,10.0,20.0,-6
OKC,LAC,2022-10-25,OKC,W,0.382,0.133,0.8,60.0,19.0,12.0,8.0,6.0,14,0.422,0.323,0.778,47.0,21.0,5.0,14.0,19.0,-14
NOP,DAL,2022-10-25,NOP,W,0.579,0.444,0.722,26.0,25.0,7.0,3.0,14.0,2,0.5,0.308,0.708,37.0,18.0,8.0,5.0,12.0,-2
